id:ID,name,厂商,级别,能源类型,环保标准,上市时间,最大功率(kW),发动机,变速箱,车身结构,最高车速(km/h),工信部综合油耗(L/100km),整车质保
845,基本参数,,,,,,,,,,,,
846,基本参数,上汽大通,微面,纯电动,,2019.01,70.0,,,货车,90,,-
847,基本参数,上汽大通,轻客,纯电动,,2019.1,110.0,,,客车,100,,-
848,基本参数,上汽大通,皮卡,汽油,国V,2017.11,165.0,2.0T 224马力 L4,6挡自动,皮卡,-,-,-
849,基本参数,上汽大通,轻客,柴油,国V,2020.01,100.0,2.5T 136马力 L4,6挡手动,客车,-,-,-
850,基本参数,上汽大通,皮卡,柴油,国VI,2020.03,120.0,2.0T 163马力 L4,6挡自动,皮卡,-,-,三年或6万公里
851,基本参数,上汽大通,皮卡,柴油,国VI,2019.06,120.0,2.0T 163马力 L4,6挡自动,皮卡,-,-,-
852,基本参数,上汽大通,轻客,柴油,国V,2019.09,100.0,2.5T 136马力 L4,6挡手动,客车,-,-,-
853,基本参数,上汽大通,中大型MPV,汽油,国VI,2020.11,165.0,2.0T 224马力 L4,8挡手自一体,MPV,200,-,三年或6万公里
854,基本参数,上汽大通,皮卡,柴油,国VI,2020.09,120.0,2.0T 163马力 L4,6挡手动,皮卡,-,-,三年或6万公里
855,基本参数,上汽大通,轻客,柴油,国V,2019.09,100.0,2.5T 136马力 L4,6挡AMT,客车,-,-,-
856,基本参数,上汽大通,皮卡,汽油,国VI,2020.03,157.0,2.0T 214马力 L4,8挡自动,皮卡,-,-,三年或6万公里
857,基本参数,上汽大通,轻客,柴油,国V,2020.12,100.0,2.5T 136马力 L4,6挡手动,货车,160,-,-
858,基本参数,上汽大通,皮卡,柴油,国V,2016.12,110.0,2.8T 150马力 L4,6挡自动,皮卡,-,-,-
859,基本参数,上汽大通,皮卡,柴油,国V,2016.12,110.0,2.8T 150马力 L4,5挡手动,皮卡,-,-,-
860,基本参数,,,,,,,,,,,,
861,基本参数,上汽大通,轻客,柴油,国V,2020.01,100.0,2.5T 136马力 L4,6挡手动,客车,-,-,-
862,基本参数,上汽大通,中大型SUV,汽油,国V,2017.08,165.0,2.0T 224马力 L4,6挡手自一体,SUV,175,9.8,待查
863,基本参数,上汽大通,皮卡,柴油,国VI,2019.06,120.0,2.0T 163马力 L4,6挡手动,皮卡,-,-,-
864,基本参数,上汽大通,轻客,柴油,国VI,2020.12,102.0,2.0T 139马力 L4,6挡AMT,客车,-,-,-
865,基本参数,上汽大通,轻客,柴油,国VI,2020.08,109.0,2.0T 148马力 L4,6挡手动,客车,-,-,-
866,基本参数,,,,,,,,,,,,
867,基本参数,,,,,,,,,,,,
868,基本参数,上汽大通,中大型MPV,氢燃料,-,2020.09,150.0,氢燃料 204马力,电动车单速变速箱,MPV,-,-,待查
869,基本参数,,,,,,,,,,,,
870,基本参数,上汽大通,轻客,柴油,国VI,2019.07,109.0,2.0T 148马力 L4,6挡手动,货车,150,-,-
871,基本参数,上汽大通,中大型MPV,柴油,国VI,2020.05,120.0,2.0T 163马力 L4,8挡手自一体,MPV,190,7.8,三年或6万公里
872,基本参数,上汽大通,轻客,柴油,国V,2020.01,100.0,2.5T 136马力 L4,6挡手动,客车,-,-,-
873,基本参数,,,,,,,,,,,,
874,基本参数,上汽大通,中大型MPV,汽油,国VI,2020.05,165.0,2.0T 224马力 L4,6挡手自一体,MPV,190,10,三年或6万公里
875,基本参数,,,,,,,,,,,,
876,基本参数,上汽大通,皮卡,柴油,国V,2016.12,110.0,2.8T 150马力 L4,6挡手动,皮卡,-,-,-
877,基本参数,上汽大通,轻客,柴油,国V,2019.09,100.0,2.5T 136马力 L4,6挡手动,客车,-,-,-
878,基本参数,上汽大通,中大型MPV,汽油,国VI,2020.11,165.0,2.0T 224马力 L4,8挡手自一体,MPV,200,-,三年或6万公里
879,基本参数,上汽大通,轻客,柴油,国VI,2020.12,102.0,2.0T 139马力 L4,6挡手动,客车,-,-,-
880,基本参数,上汽大通,中大型MPV,汽油,国VI,2020.11,165.0,2.0T 224马力 L4,8挡手自一体,MPV,200,-,三年或6万公里
