id:ID,name,排量(L),进气形式,气缸排列形式,气缸数(个),每缸气门数(个),压缩比,配气机构,缸径(mm),行程(mm),最大马力(Ps),最大功率(kW),最大功率转速(rpm),最大扭矩(N·m),最大扭矩转速(rpm),燃料形式,燃油标号,供油方式,缸盖材料,缸体材料,环保标准
3081,发动机,2.8,涡轮增压,L,4,4,-,未知,-,-,150.0,110.0,3400,360,1600-2800,柴油,0号,直喷,未知,未知,国V
3082,发动机,,,,,,,,,,,70.0,,220,,,,,,,
3083,发动机,2.0,涡轮增压,L,4,4,-,DOHC,-,-,148.0,109.0,3500,375,1500-2400,柴油,0号,直喷,未知,未知,国VI
3084,发动机,2.0,涡轮增压,L,4,4,-,DOHC,-,-,163.0,120.0,-,375,-,柴油,0号,直喷,铝合金,铝合金,国VI
3085,发动机,2.0,涡轮增压,L,4,4,-,DOHC,-,-,163.0,120.0,-,375,-,柴油,0号,直喷,未知,未知,国VI
3086,发动机,,,,,,,,,,,100.0,,320,,,,,,,
3087,发动机,,,,,,,,,,,130.0,,310,,,,,,,
3088,发动机,2.5,涡轮增压,L,4,4,-,DOHC,-,-,136.0,100.0,3800,330,1800-2800,柴油,0号,直喷,铝合金,铸铁,国V
3089,发动机,2.0,涡轮增压,L,4,4,-,DOHC,-,-,139.0,102.0,3500,330,1400-2800,柴油,0号,直喷,铝合金,铸铁,国VI
3090,发动机,2.0,涡轮增压,L,4,4,-,DOHC,-,-,163.0,120.0,-,375,-,柴油,0号,直喷,未知,未知,国VI
3091,发动机,,,,,,,,,,,,,,,,,,,,
3092,发动机,2.0,涡轮增压,L,4,4,-,DOHC,-,-,214.0,157.0,-,350,-,汽油,92号,-,铝合金,未知,国VI
3093,发动机,2.0,涡轮增压,L,4,4,-,DOHC,-,-,214.0,157.0,-,350,-,汽油,92号,-,铝合金,未知,国VI
3094,发动机,2.5,涡轮增压,L,4,4,-,DOHC,-,-,136.0,100.0,3800,330,1800-2800,柴油,0号,直喷,铝合金,铸铁,国V
3095,发动机,2.5,涡轮增压,L,4,4,-,DOHC,-,-,136.0,100.0,3800,330,1800-2800,柴油,0号,直喷,铝合金,铸铁,国V
3096,发动机,2.0,涡轮增压,L,4,4,-,未知,-,-,163.0,120.0,-,375,-,柴油,0号,直喷,未知,未知,国VI
3097,发动机,2.0,涡轮增压,L,4,4,-,DOHC,-,-,139.0,102.0,3500,330,1400-2800,柴油,0号,直喷,铝合金,铸铁,国VI
3098,发动机,2.0,涡轮增压,L,4,4,-,DOHC,-,-,163.0,120.0,-,375,-,柴油,0号,直喷,未知,未知,国VI
3099,发动机,2.8,涡轮增压,L,4,4,-,未知,-,-,150.0,110.0,3400,360,1600-2800,柴油,0号,直喷,未知,未知,国V
3100,发动机,2.0,涡轮增压,L,4,4,-,DOHC,-,-,214.0,157.0,-,350,-,汽油,92号,-,铝合金,未知,国VI
3101,发动机,2.0,涡轮增压,L,4,4,-,DOHC,-,-,224.0,165.0,-,350,-,汽油,92号,直喷,铝合金,铝合金,国VI
3102,发动机,2.0,涡轮增压,L,4,4,-,DOHC,-,-,148.0,109.0,3500,375,1500-2400,柴油,0号,直喷,未知,未知,国VI
3103,发动机,2.0,涡轮增压,L,4,4,-,DOHC,-,-,214.0,157.0,-,350,-,汽油,92号,-,铝合金,未知,国VI
3104,发动机,2.8,涡轮增压,L,4,4,-,未知,-,-,150.0,110.0,3400,360,1600-2800,柴油,0号,直喷,未知,未知,国V
3105,发动机,,,,,,,,,,,,,,,,,,,,
3106,发动机,,,,,,,,,,,70.0,,220,,,,,,,
3107,发动机,2.0,涡轮增压,L,4,4,-,DOHC,-,-,214.0,157.0,-,350,-,汽油,92号,-,铝合金,未知,国VI
3108,发动机,2.0,涡轮增压,L,4,4,-,DOHC,-,-,214.0,157.0,-,350,-,汽油,92号,-,铝合金,未知,国VI
3109,发动机,,,,,,,,,,,130.0,,310,,,,,,,
3110,发动机,,,,,,,,,,,150.0,,310,,,,,,,
3111,发动机,2.0,双涡轮增压,L,4,4,-,DOHC,-,-,218.0,160.0,4000,480,1500-2400,柴油,0号,直喷,铝合金,铸铁,国VI
3112,发动机,2.0,涡轮增压,L,4,4,-,DOHC,-,-,224.0,165.0,-,350,-,汽油,92号,直喷,铝合金,铝合金,国VI
3113,发动机,1.5,涡轮增压,L,4,4,-,DOHC,-,-,169.0,124.0,5600,250,1700-4400,汽油,92号,直喷,铝合金,铝合金,国VI
3114,发动机,2.0,涡轮增压,L,4,4,-,DOHC,-,-,148.0,109.0,3500,375,1500-2400,柴油,0号,直喷,未知,未知,国VI
3115,发动机,2.0,涡轮增压,L,4,4,-,DOHC,-,-,224.0,165.0,-,360,-,汽油,92号,直喷,铝合金,铝合金,国V
3116,发动机,2.0,涡轮增压,L,4,4,-,DOHC,-,-,214.0,157.0,-,350,-,汽油,92号,-,铝合金,未知,国VI
3117,发动机,2.5,涡轮增压,L,4,4,-,DOHC,-,-,136.0,100.0,3800,330,1800-2800,柴油,0号,直喷,铝合金,铸铁,国V
3118,发动机,2.0,涡轮增压,L,4,4,-,DOHC,-,-,163.0,120.0,-,375,-,柴油,0号,直喷,未知,未知,国VI
3119,发动机,2.0,涡轮增压,L,4,4,-,DOHC,-,-,214.0,157.0,-,350,-,汽油,92号,-,铝合金,未知,国VI
3120,发动机,2.0,涡轮增压,L,4,4,-,DOHC,-,-,148.0,109.0,3500,375,1500-2400,柴油,0号,直喷,未知,未知,国VI
3121,发动机,1.5,涡轮增压,L,4,4,-,DOHC,-,-,169.0,124.0,5600,250,1700-4400,汽油,92号,直喷,铝合金,铝合金,国VI
3122,发动机,2.5,涡轮增压,L,4,4,-,DOHC,-,-,136.0,100.0,3800,330,1800-2800,柴油,0号,直喷,铝合金,铸铁,国V
3123,发动机,2.5,涡轮增压,L,4,4,-,DOHC,-,-,136.0,100.0,3800,330,1800-2800,柴油,0号,直喷,铝合金,铸铁,国V
3124,发动机,1.5,涡轮增压,L,4,4,-,DOHC,-,-,169.0,124.0,5500,250,1700-4400,汽油,92号,直喷,铝合金,铝合金,国VI
3125,发动机,2.0,涡轮增压,L,4,4,-,未知,-,-,163.0,120.0,-,375,-,柴油,0号,直喷,未知,未知,国VI
3126,发动机,,,,,,,,,,,70.0,,220,,,,,,,
3127,发动机,2.0,双涡轮增压,L,4,4,-,DOHC,-,-,218.0,160.0,4000,480,1500-2400,柴油,0号,直喷,铝合金,铸铁,国VI
3128,发动机,2.4,自然吸气,L,4,4,-,DOHC,-,-,156.0,115.0,-,225,-,汽油,92号,多点电喷,铝合金,未知,国VI
3129,发动机,2.0,涡轮增压,L,4,4,-,DOHC,-,-,139.0,102.0,3500,330,1400-2800,柴油,0号,直喷,铝合金,铸铁,国VI
3130,发动机,2.8,涡轮增压,L,4,4,-,未知,-,-,150.0,110.0,3400,360,1600-2800,柴油,0号,直喷,未知,未知,国V
3131,发动机,2.8,涡轮增压,L,4,4,-,未知,-,-,150.0,110.0,3400,360,1600-2800,柴油,0号,直喷,未知,未知,国V
3132,发动机,2.0,涡轮增压,L,4,4,-,DOHC,-,-,163.0,120.0,-,375,-,柴油,0号,直喷,未知,未知,国VI
3133,发动机,,,,,,,,,,,,,,,,,,,,
3134,发动机,2.0,涡轮增压,L,4,4,-,未知,-,-,224.0,165.0,-,360,-,汽油,92号,直喷,铝合金,未知,国V
3135,发动机,2.0,涡轮增压,L,4,4,-,DOHC,-,-,224.0,165.0,-,360,-,汽油,92号,直喷,铝合金,铝合金,国V
3136,发动机,2.0,涡轮增压,L,4,4,-,DOHC,-,-,148.0,109.0,3500,375,1500-2400,柴油,0号,直喷,未知,未知,国VI
3137,发动机,-,-,-,-,-,-,-,-,-,204.0,150.0,-,-,-,氢燃料,-,-,-,-,-
3138,发动机,2.0,涡轮增压,L,4,4,-,DOHC,-,-,163.0,120.0,-,375,-,柴油,0号,直喷,铝合金,铸铁,国VI
3139,发动机,1.5,涡轮增压,L,4,4,-,DOHC,-,-,169.0,124.0,5600,250,1700-4400,汽油,92号,直喷,铝合金,铝合金,国VI
3140,发动机,1.5,涡轮增压,L,4,4,-,DOHC,-,-,169.0,124.0,5600,250,1700-4400,汽油,92号,直喷,铝合金,铝合金,国VI
3141,发动机,2.0,涡轮增压,L,4,4,-,DOHC,-,-,139.0,102.0,3500,330,1400-2800,柴油,0号,直喷,铝合金,铸铁,国VI
3142,发动机,2.0,涡轮增压,L,4,4,-,DOHC,-,-,163.0,120.0,-,375,-,柴油,0号,直喷,未知,未知,国VI
3143,发动机,2.0,涡轮增压,L,4,4,-,未知,-,-,163.0,120.0,-,375,-,柴油,0号,直喷,未知,未知,国VI
3144,发动机,,,,,,,,,,,,,,,,,,,,
3145,发动机,,,,,,,,,,,130.0,,310,,,,,,,
3146,发动机,,,,,,,,,,,130.0,,310,,,,,,,
3147,发动机,2.0,涡轮增压,L,4,4,-,DOHC,-,-,139.0,102.0,3500,330,1400-2800,柴油,0号,直喷,铝合金,铸铁,国VI
