id:ID,name,简称,变速箱类型
1886,变速箱,,自动变速箱(AT)
1887,变速箱,,自动变速箱(AT)
1888,变速箱,,手动变速箱(MT)
1889,变速箱,,手动变速箱(MT)
1890,变速箱,,手动变速箱(MT)
1891,变速箱,,自动变速箱(AT)
1892,变速箱,,手动变速箱(MT)
1893,变速箱,,手动变速箱(MT)
1894,变速箱,,自动变速箱(AT)
1895,变速箱,,机械式自动变速箱(AMT)
1896,变速箱,,手动变速箱(MT)
1897,变速箱,,手动变速箱(MT)
1898,变速箱,8挡手自一体,
1899,变速箱,7挡双离合,
1900,变速箱,,手动变速箱(MT)
1901,变速箱,,手动变速箱(MT)
1902,变速箱,7挡双离合,
1903,变速箱,,自动变速箱(AT)
1904,变速箱,,手动变速箱(MT)
1905,变速箱,,机械式自动变速箱(AMT)
1906,变速箱,6挡手动,
1907,变速箱,6挡手动,
1908,变速箱,,手动变速箱(MT)
1909,变速箱,,手动变速箱(MT)
1910,变速箱,,
1911,变速箱,,手动变速箱(MT)
1912,变速箱,,
1913,变速箱,7挡双离合,
1914,变速箱,,手动变速箱(MT)
1915,变速箱,,自动变速箱(AT)
1916,变速箱,,手动变速箱(MT)
1917,变速箱,,手动变速箱(MT)
1918,变速箱,6挡手动,
1919,变速箱,AMT（组合10挡）,
1920,变速箱,,自动变速箱(AT)
1921,变速箱,电动车单速变速箱,
1922,变速箱,,自动变速箱(AT)
1923,变速箱,,手动变速箱(MT)
1924,变速箱,,自动变速箱(AT)
1925,变速箱,AMT（组合10挡）,
1926,变速箱,,手动变速箱(MT)
1927,变速箱,,
1928,变速箱,,手动变速箱(MT)
1929,变速箱,,
1930,变速箱,AMT（组合10挡）,
1931,变速箱,,手动变速箱(MT)
1932,变速箱,,手动变速箱(MT)
1933,变速箱,,自动变速箱(AT)
1934,变速箱,,手动变速箱(MT)
1935,变速箱,AMT（组合10挡）,
1936,变速箱,,自动变速箱(AT)
1937,变速箱,,手动变速箱(MT)
1938,变速箱,,固定齿比变速箱
1939,变速箱,,机械式自动变速箱(AMT)
1940,变速箱,6挡手动,
1941,变速箱,,固定齿比变速箱
1942,变速箱,,自动变速箱(AT)
1943,变速箱,,机械式自动变速箱(AMT)
1944,变速箱,,自动变速箱(AT)
1945,变速箱,,手动变速箱(MT)
1946,变速箱,,手动变速箱(MT)
1947,变速箱,,手动变速箱(MT)
1948,变速箱,,手动变速箱(MT)
1949,变速箱,,机械式自动变速箱(AMT)
1950,变速箱,,自动变速箱(AT)
