id:ID,name,高度(mm),轴距(mm),前轮距(mm),后轮距(mm),最小离地间隙(mm),整备质量(kg),车身结构,车门数(个),座位数(个),后排车门开启方式,油箱容积(L),货箱尺寸(mm)
1235,车身,2345.0,3100.0,-,-,-,-,客车,4.0,11,-,80,-
1236,车身,,,,,,,,,,,,
1237,车身,2740.0,3760.0,-,-,-,-,客车,5.0,9,侧滑门,80,-
1238,车身,,,,,,,,,,,,
1239,车身,1928.0,3198.0,-,-,-,-,MPV,5.0,7,,-,
1240,车身,2380.0,3100.0,1734,1728,200,2230,客车,4.0,2-3,侧滑门,-,-
1241,车身,1722.0,3155.0,-,-,185,-,皮卡,4.0,5,平开门,-,1485x1510x530
1242,车身,1875.0,2950.0,-,-,210,-,SUV,5.0,7,,75,
1243,车身,2345.0,3850.0,-,-,-,-,客车,5.0,10,侧滑门,80,-
1244,车身,,,,,,,,,,,,
1245,车身,,,,,,,,,,,,
1246,车身,1928.0,3198.0,-,-,-,-,MPV,4.0,9,,-,
1247,车身,1809.0,3470.0,-,-,-,-,皮卡,4.0,5,平开门,-,1800x1510x530
1248,车身,1736.0,2760.0,-,-,-,-,SUV,5.0,6,,50,
1249,车身,1809.0,3470.0,-,-,-,-,皮卡,4.0,5,平开门,-,1800x1510x530
1250,车身,,,,,,,,,,,,
1251,车身,1875.0,2950.0,-,-,210,-,SUV,5.0,5,,75,
1252,车身,1928.0,3198.0,-,-,-,-,MPV,4.0,7,,75,
1253,车身,1809.0,3155.0,-,-,215,-,皮卡,4.0,5,平开门,-,1485x1510x530
1254,车身,1809.0,3155.0,-,-,-,-,皮卡,4.0,5,平开门,-,1485x1510x530
1255,车身,1736.0,2760.0,-,-,-,-,SUV,5.0,5,,50,
1256,车身,1809.0,3470.0,-,-,-,-,皮卡,4.0,5,平开门,-,1800x1510x530
1257,车身,2365.0,3000.0,-,-,-,-,客车,5.0,6,侧滑门,80,-
1258,车身,1910.0,3285.0,1548,1553,145,1500,货车,4.0,2,侧滑门,-,-
1259,车身,1809.0,3155.0,-,-,-,-,皮卡,4.0,5,平开门,-,1485x1510x530
1260,车身,1809.0,3155.0,-,-,215,-,皮卡,4.0,5,平开门,-,1485x1510x530
1261,车身,,,,,,,,,,,,
1262,车身,1928.0,3198.0,-,-,-,-,MPV,4.0,7,,75,
1263,车身,1809.0,3155.0,-,-,-,-,皮卡,4.0,5,平开门,-,1485x1510x530
1264,车身,1809.0,3155.0,-,-,-,-,皮卡,4.0,5,平开门,-,1485x1510x530
1265,车身,2070.0,3100.0,-,-,-,-,客车,5.0,5/6,侧滑门,80,-
1266,车身,1895.0,2910.0,1548,1553,145,1420,货车,4.0,2,侧滑门,-,-
1267,车身,2070.0,3100.0,-,-,-,-,客车,5.0,10,侧滑门,80,-
1268,车身,1809.0,3155.0,-,-,215,-,皮卡,4.0,5,平开门,-,1485x1510x530
1269,车身,2552.0,3820.0,-,-,-,-,货车,4.0,3,侧滑门,80,-
1270,车身,1809.0,3155.0,-,-,-,-,皮卡,4.0,5,平开门,-,1485x1510x530
1271,车身,,,,,,,,,,,,
1272,车身,1845.0,3155.0,-,-,-,-,皮卡,4.0,5,平开门,-,1485x1510x530
1273,车身,2552.0,3850.0,-,-,-,-,客车,5.0,10,侧滑门,80,-
1274,车身,1809.0,3155.0,-,-,215,-,皮卡,4.0,5,平开门,-,1485x1510x530
1275,车身,1809.0,3155.0,-,-,-,-,皮卡,4.0,5,平开门,-,1485x1510x530
1276,车身,2345.0,3100.0,-,-,-,-,客车,4.0,11/12,-,80,-
1277,车身,1809.0,3155.0,-,-,215,-,皮卡,4.0,5,平开门,-,1485x1510x530
1278,车身,1736.0,2760.0,1570,1580,160,-,SUV,5.0,5,,-,
1279,车身,2535.0,3366.0,-,-,-,-,客车,5.0,7,侧滑门,80,-
1280,车身,1809.0,3470.0,-,-,-,-,皮卡,4.0,5,平开门,-,1800x1510x530
1281,车身,1928.0,3198.0,-,-,-,-,MPV,4.0,9,,-,
1282,车身,,,,,,,,,,,,
1283,车身,1875.0,2950.0,-,-,210,-,SUV,5.0,5,,75,
1284,车身,1736.0,2760.0,-,-,-,-,SUV,5.0,5,,50,
1285,车身,2345.0,3850.0,-,-,-,-,客车,4.0,14,-,80,-
1286,车身,2345.0,3100.0,-,-,-,-,货车,4.0,3,侧滑门,80,-
1287,车身,2525.0,3760.0,-,-,-,-,客车,5.0,9,侧滑门,80,-
1288,车身,1895.0,2910.0,1548,1553,145,1480,货车,4.0,2,侧滑门,-,-
1289,车身,1809.0,3470.0,-,-,216,-,皮卡,4.0,5,平开门,-,1800x1510x530
1290,车身,1809.0,3155.0,-,-,215,-,皮卡,4.0,5,平开门,-,1485x1510x530
1291,车身,1809.0,3470.0,-,-,216,-,皮卡,4.0,5,平开门,-,1800x1510x530
1292,车身,1809.0,3470.0,-,-,-,-,皮卡,4.0,5,平开门,-,1800x1510x530
1293,车身,1736.0,2760.0,1570,1580,160,1775,SUV,5.0,5,,-,
1294,车身,2372.0,4175.0,-,-,-,-,客车,5.0,17/18,-,80,-
1295,车身,2345.0,3850.0,-,-,-,-,客车,4.0,9,-,80,-
1296,车身,,,,,,,,,,,,
1297,车身,1895.0,2910.0,1548,1553,145,1420,货车,4.0,2,侧滑门,-,-
1298,车身,,,,,,,,,,,,
1299,车身,1722.0,3470.0,-,-,185,-,皮卡,4.0,5,平开门,-,1800x1510x530
1300,车身,1809.0,3470.0,-,-,216,-,皮卡,4.0,5,平开门,-,1800x1510x530
1301,车身,2345.0,3100.0,-,-,-,-,客车,4.0,9,-,80,-
1302,车身,,,,,,,,,,,,
1303,车身,2345.0,3100.0,-,-,-,-,客车,5.0,5/6,侧滑门,80,-
1304,车身,1809.0,3470.0,-,-,216,-,皮卡,4.0,5,平开门,-,1800x1510x530
1305,车身,1809.0,3155.0,-,-,-,-,皮卡,4.0,5,平开门,-,1485x1510x530
1306,车身,1809.0,3470.0,-,-,-,-,皮卡,4.0,5,平开门,-,1800x1510x530
1307,车身,1809.0,3155.0,-,-,-,-,皮卡,4.0,5,平开门,-,1485x1510x530
1308,车身,1736.0,2760.0,-,-,-,-,SUV,5.0,7,,50,
1309,车身,2345.0,3850.0,-,-,-,-,货车,4.0,2/3,侧滑门,80,-
1310,车身,,,,,,,,,,,,
1311,车身,,,,,,,,,,,,
1312,车身,2525.0,3366.0,1734,1756,180,2300,货车,5.0,3,侧滑门,-,-
1313,车身,2174.0,3100.0,1734,1728,200,2230,客车,4.0,2-3,侧滑门,-,-
1314,车身,1809.0,3470.0,-,-,216,-,皮卡,4.0,5,平开门,-,1800x1510x530
1315,车身,1809.0,3155.0,-,-,-,-,皮卡,4.0,5,平开门,-,1485x1510x530
1316,车身,1809.0,3155.0,-,-,-,-,皮卡,4.0,5,平开门,-,1485x1510x530
1317,车身,1778.0,2800.0,-,-,-,1535,MPV,5.0,7,,50,
1318,车身,1928.0,3198.0,-,-,-,-,MPV,5.0,7,,-,
1319,车身,2105.0,2455.0,-,-,-,-,客车,4.0,15,侧滑门,-,-
1320,车身,2555.0,3366.0,-,-,-,-,货车,5.0,3,侧滑门,80,-
1321,车身,1928.0,3198.0,-,-,-,-,MPV,5.0,7,,-,
1322,车身,1809.0,3155.0,-,-,-,-,皮卡,4.0,5,平开门,-,1485x1510x530
1323,车身,1736.0,2760.0,-,-,-,-,SUV,5.0,5,,50,
1324,车身,2577.0,4175.0,-,-,-,-,客车,5.0,17/18,-,80,-
1325,车身,,,,,,,,,,,,
1326,车身,2552.0,3820.0,-,-,-,-,货车,4.0,3,侧滑门,80,-
1327,车身,1875.0,2950.0,1600,1620,210,-,SUV,5.0,7,,75,
